[INFO:2023-05-03 08:58:31,222] **FILLING BUFFER** | Episode: 42 | Timesteps Played: 189 | Mean Loss: 0.000 | Mean Reward: 0.635
[INFO:2023-05-03 08:58:31,500] **FILLING BUFFER** | Episode: 43 | Timesteps Played: 233 | Mean Loss: 0.000 | Mean Reward: 0.687
[INFO:2023-05-03 08:58:31,739] **FILLING BUFFER** | Episode: 44 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.576
[INFO:2023-05-03 08:58:31,959] **FILLING BUFFER** | Episode: 45 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.462
[INFO:2023-05-03 08:58:32,299] **FILLING BUFFER** | Episode: 46 | Timesteps Played: 307 | Mean Loss: 0.000 | Mean Reward: 0.684
[INFO:2023-05-03 08:58:32,555] **FILLING BUFFER** | Episode: 47 | Timesteps Played: 207 | Mean Loss: 0.000 | Mean Reward: 0.773
[INFO:2023-05-03 08:58:32,808] **FILLING BUFFER** | Episode: 48 | Timesteps Played: 199 | Mean Loss: 0.000 | Mean Reward: 0.603
[INFO:2023-05-03 08:58:33,041] **FILLING BUFFER** | Episode: 49 | Timesteps Played: 189 | Mean Loss: 0.000 | Mean Reward: 0.582
[INFO:2023-05-03 08:58:33,247] **FILLING BUFFER** | Episode: 50 | Timesteps Played: 159 | Mean Loss: 0.000 | Mean Reward: 0.692
[INFO:2023-05-03 08:58:33,425] **FILLING BUFFER** | Episode: 51 | Timesteps Played: 125 | Mean Loss: 0.000 | Mean Reward: 0.320
[INFO:2023-05-03 08:58:33,683] **FILLING BUFFER** | Episode: 52 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.681
[INFO:2023-05-03 08:58:33,930] **FILLING BUFFER** | Episode: 53 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.628
[INFO:2023-05-03 08:58:34,168] **FILLING BUFFER** | Episode: 54 | Timesteps Played: 183 | Mean Loss: 0.000 | Mean Reward: 0.656
[INFO:2023-05-03 08:58:34,402] **FILLING BUFFER** | Episode: 55 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.419
[INFO:2023-05-03 08:58:34,676] **FILLING BUFFER** | Episode: 56 | Timesteps Played: 219 | Mean Loss: 0.000 | Mean Reward: 0.639
[INFO:2023-05-03 08:58:34,920] **FILLING BUFFER** | Episode: 57 | Timesteps Played: 189 | Mean Loss: 0.000 | Mean Reward: 0.899
[INFO:2023-05-03 08:58:35,141] **FILLING BUFFER** | Episode: 58 | Timesteps Played: 169 | Mean Loss: 0.000 | Mean Reward: 0.414
[INFO:2023-05-03 08:58:35,393] **FILLING BUFFER** | Episode: 59 | Timesteps Played: 211 | Mean Loss: 0.000 | Mean Reward: 0.995
[INFO:2023-05-03 08:58:35,640] **FILLING BUFFER** | Episode: 60 | Timesteps Played: 201 | Mean Loss: 0.000 | Mean Reward: 0.498
[INFO:2023-05-03 08:58:35,858] **FILLING BUFFER** | Episode: 61 | Timesteps Played: 175 | Mean Loss: 0.000 | Mean Reward: 0.857
[INFO:2023-05-03 08:58:36,074] **FILLING BUFFER** | Episode: 62 | Timesteps Played: 183 | Mean Loss: 0.000 | Mean Reward: 0.710
[INFO:2023-05-03 08:58:36,337] **FILLING BUFFER** | Episode: 63 | Timesteps Played: 223 | Mean Loss: 0.000 | Mean Reward: 0.717
[INFO:2023-05-03 08:58:36,548] **FILLING BUFFER** | Episode: 64 | Timesteps Played: 155 | Mean Loss: 0.000 | Mean Reward: 0.581
[INFO:2023-05-03 08:58:36,755] **FILLING BUFFER** | Episode: 65 | Timesteps Played: 161 | Mean Loss: 0.000 | Mean Reward: 0.807
[INFO:2023-05-03 08:58:36,969] **FILLING BUFFER** | Episode: 66 | Timesteps Played: 185 | Mean Loss: 0.000 | Mean Reward: 0.865
[INFO:2023-05-03 08:58:37,209] **FILLING BUFFER** | Episode: 67 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.576
[INFO:2023-05-03 08:58:37,407] **FILLING BUFFER** | Episode: 68 | Timesteps Played: 163 | Mean Loss: 0.000 | Mean Reward: 0.675
[INFO:2023-05-03 08:58:37,618] **FILLING BUFFER** | Episode: 69 | Timesteps Played: 157 | Mean Loss: 0.000 | Mean Reward: 0.573
[INFO:2023-05-03 08:58:37,850] **FILLING BUFFER** | Episode: 70 | Timesteps Played: 185 | Mean Loss: 0.000 | Mean Reward: 0.703
[INFO:2023-05-03 08:58:38,097] **FILLING BUFFER** | Episode: 71 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.415
[INFO:2023-05-03 08:58:38,308] **FILLING BUFFER** | Episode: 72 | Timesteps Played: 177 | Mean Loss: 0.000 | Mean Reward: 0.508
[INFO:2023-05-03 08:58:38,572] **FILLING BUFFER** | Episode: 73 | Timesteps Played: 233 | Mean Loss: 0.000 | Mean Reward: 0.858
[INFO:2023-05-03 08:58:38,776] **FILLING BUFFER** | Episode: 74 | Timesteps Played: 171 | Mean Loss: 0.000 | Mean Reward: 0.292
[INFO:2023-05-03 08:58:39,043] **FILLING BUFFER** | Episode: 75 | Timesteps Played: 221 | Mean Loss: 0.000 | Mean Reward: 0.905
[INFO:2023-05-03 08:58:39,289] **FILLING BUFFER** | Episode: 76 | Timesteps Played: 213 | Mean Loss: 0.000 | Mean Reward: 0.610
[INFO:2023-05-03 08:58:39,502] **FILLING BUFFER** | Episode: 77 | Timesteps Played: 181 | Mean Loss: 0.000 | Mean Reward: 0.608
[INFO:2023-05-03 08:58:39,708] **FILLING BUFFER** | Episode: 78 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.347
[INFO:2023-05-03 08:58:39,957] **FILLING BUFFER** | Episode: 79 | Timesteps Played: 221 | Mean Loss: 0.000 | Mean Reward: 0.769
[INFO:2023-05-03 08:58:40,116] **FILLING BUFFER** | Episode: 80 | Timesteps Played: 113 | Mean Loss: 0.000 | Mean Reward: 0.619
